"System_Dt","Policy_No","Description_ID","Description","Due_Dt","Currency_ID","Currency","Amount_Due","Received_Dt","Amount_Received","Reversal_Flag","Payment_Method_ID","Payment_Method"
"2023-10-01","CL02000272","2","Payment","","8","GBP","135000.00000000000","2021-05-26","135000.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL02000273","2","Payment","","16","USD","1000000.00000000000","2021-02-11","1000000.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL02000336","2","Payment","","8","GBP","540000.00000000000","2021-11-22","540000.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL02000475","2","Payment","","16","USD","1196094.00000000000","2021-08-17","1196094.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL02000507","2","Payment","","16","USD","420000.00000000000","2022-01-18","420000.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL02000532","2","Payment","","16","USD","900000.00000000000","2021-09-27","900000.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL02000569","2","Payment","","16","USD","70100.00000000000","2021-11-09","70100.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL02000796","2","Payment","","16","USD","99955.00000000000","2022-08-26","99955.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL02000848","2","Payment","","8","GBP","160000.00000000000","2022-12-14","160000.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL10000352","2","Payment","","8","GBP","103358.00000000000","2013-04-23","103358.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL10000438","2","Payment","","8","GBP","20497.00000000000","2013-06-20","20497.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL10001166","2","Payment","","8","GBP","26905.00000000000","2015-12-03","26905.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL10001535","2","Payment","","8","GBP","205435.00000000000","2016-10-24","205435.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","CL10001561","2","Payment","","16","USD","197440.00000000000","2016-12-05","197440.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP02000673","5","Payment Renewal Premium","2022-02-18","16","USD","4517.00000000000","2022-02-20","4517.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP02000673","5","Payment Renewal Premium","2023-02-18","16","USD","4517.00000000000","2023-02-19","4517.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP02000939","2","Payment","2023-07-24","16","USD","8000.00000000000","2023-07-24","8000.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-01-12","16","USD","368.00000000000","2018-01-14","368.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-02-12","16","USD","368.00000000000","2018-02-11","368.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-03-12","16","USD","368.00000000000","2018-03-11","368.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-04-12","16","USD","368.00000000000","2018-04-11","368.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-05-12","16","USD","368.00000000000","2018-05-10","368.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-06-12","16","USD","368.00000000000","2018-06-11","368.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-07-12","16","USD","368.00000000000","2018-07-26","368.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-08-12","16","USD","368.00000000000","2018-08-09","368.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-09-12","16","USD","368.00000000000","2018-09-11","368.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-10-12","16","USD","368.00000000000","2018-10-11","368.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-11-12","16","USD","368.00000000000","2018-11-11","368.00000000000","0","7","Standing Order/Cheque"
"2023-10-01","LP22033529","5","Payment Renewal Premium","2018-12-12","16","USD","368.00000000000","2018-12-11","368.00000000000","0","7","Standing Order/Cheque"
